;;;;;;;;
Carl Zeiss Meditec AG;акции;AFX@DE;0.35;;нет;нет;нет;да
GAZ-24 EUR (расч. в EUR);Е/О;XS1721463500;0.26;;да;нет;да;нет
GAZ-25 EU2 (расч. в EUR);Е/О;XS2157526315;0.26;;да;нет;да;нет
GAZ-27_2 (расч. в USD);Е/О;XS2196334671;0.3;;да;нет;да;нет
Сбер Sb15R;Облигации;RU000A101C89;0.45;;да;нет;да;нет
ВТБ Б-1-107;Облигации;RU000A101Y42;0.4;;да;нет;да;нет
ВТБ Б-1-106;Облигации;RU000A101Y34;0.4;;да;нет;да;нет
ВТБ Б-1-105;Облигации;RU000A101Y26;0.4;;да;нет;да;нет
ВТБ Б-1-108;Облигации;RU000A101Y59;0.4;;да;нет;да;нет
ВТБ Б-1-120;Облигации;RU000A0NH269;0.4;;да;нет;да;нет
United Airlines Holdings, Inc.;акции;UAL_SPB;0.5;;нет;нет;нет;да
ВТБ Б-1-110;Облигации;RU000A0NH1W7;0.4;;да;нет;да;нет
ВТБ Б-1-98;Облигации;RU000A101YR6;0.24;;да;нет;да;нет
ВТБ Б-1-99;Облигации;RU000A1022J5;0.24;;да;нет;да;нет
ВТБ Б-1-121;Облигации;RU000A0NH277;0.4;;да;нет;да;нет
ВТБ Б-1-122;Облигации;RU000A0NH285;0.4;;да;нет;да;нет
ВТБ Б-1-111;Облигации;RU000A0NH1X5;0.4;;да;нет;да;нет
ВТБ Б-1-112;Облигации;RU000A0NH1Y3;0.4;;да;нет;да;нет
RUS-35;Облигации;RU000A1006S9;0.3;;да;нет;да;нет
Bayer Aktiengesellschaft;акции;BAYN@DE_SPB;0.4;;нет;нет;нет;да
adidas AG;акции;ADS@DE_SPB;0.4;;нет;нет;нет;да
Deutsche Telekom AG;акции;DTE@DE_SPB;0.4;;нет;нет;нет;да
Deutsche Boerse Aktiengesellschaft;акции;DB1@DE_SPB;0.4;;нет;нет;нет;да
r Ruckversicherungs-Gesellschaft Aktiengesellschaft in Munchen;акции;MUV2@DE_SPB;0.4;;нет;нет;нет;да
VTBE ETF;пай;VTBE;0.35;0.35;да;да;нет;нет
VTBG ETF;пай;VTBG;0.31;1;да;да;нет;нет
VTBH ETF;пай;VTBH;0.3;0.3;да;да;нет;нет
VTBX ETF;пай;VTBX;0.3;;да;нет;нет;нет
Coty Inc. Class A;акции;COTY_SPB;0.45;;нет;нет;нет;да
ВТБСУБТ2-1;облигации;RU000A102879;0.4;;да;нет;да;нет
ВТБСУБТ2-2;облигации;RU000A102887;0.4;;да;нет;да;нет
ВТБ Б1-115;облигации;RU000A0NH210;0.4;;да;нет;да;нет
ВТБ Б1-117;облигации;RU000A0NH236;0.4;;да;нет;да;нет
Hyatt Hotels Corporation ClassA;акции;H_SPB;0.45;;нет;нет;нет;да
Nokia Corporation;акции;NOK_SPB;0.4;;нет;нет;нет;да
ВТБ Б1-124;облигации;RU000A0NH2A1;0.4;;да;нет;да;нет
ВТБ Б1-126;облигации;RU000A0NH2C7;0.4;;да;нет;да;нет
ВТБ Б1-127;облигации;RU000A0NH2D5;0.4;;да;нет;да;нет
ВТБ Б1-128;облигации;RU000A0NH2E3;0.4;;да;нет;да;нет
ВТБ Б-1-133;облигации;RU000A102739;0.4;;да;нет;да;нет
ВТБ Б-1-119;облигации;RU000A0NH251;0.4;;да;нет;да;нет
ВТБ Б-1-143;облигации;RU000A1027M8;0.4;;да;нет;да;нет
Mail.ru Group Limited;акции;MAIL;0.38;0.38;нет;да;нет;нет
OZON-адр;акции;OZON;0.8;0.8;нет;да;нет;нет
